%   Sensor                 x[m]                 y[m]
         1      0.9999524765071   2.532896734556e-06
         2      0.9997552617855   1.302589314367e-05
         3      0.9994229192498   3.065831683535e-05
         4      0.9989913782966     5.3509203266e-05
         5      0.9985073951285   7.916352141955e-05
         6      0.9980234188979   0.0001049478944516
         7      0.9975918958318   0.0001281341026633
         8      0.9972595745906   0.0001461657241151
         9      0.9970623755985   0.0001569535960211
        10       0.996971935959   0.0001619138254187
        11      0.9967938256687   0.0001716826872257
        12      0.9964936829173   0.0001881971833996
        13      0.9961039584383   0.0002097024442392
        14      0.9956668732651   0.0002338404051417
        15      0.9952297850674   0.0002579233550819
        16      0.9948400527903   0.0002792867806128
        17      0.9945399007553   0.0002956324230447
        18      0.9943617836075   0.0003052765576211
        19      0.9942359802841   0.0003120697518436
        20      0.9938920309012   0.0003305360597432
        21      0.9933123913948   0.0003612389609707
        22      0.9925596933642   0.0004002687002049
        23      0.9917154555562   0.0004428146799191
        24      0.9908711476524     0.00048394306884
        25      0.9901182688932   0.0005193178196925
        26      0.9895384142309   0.0005456694879934
        27      0.9891943059188   0.0005609216697138
        28      0.9890162486599    0.000568711991459
        29      0.9886214508642   0.0005857914965046
        30      0.9879561223057   0.0006139479113496
        31      0.9870921624571   0.0006494318863314
        32       0.986123154897   0.0006879469684738
        33      0.9851541018458   0.0007253040946248
        34      0.9842900247068    0.000757802500206
        35      0.9836245565153    0.000782404619791
        36      0.9832296555768   0.0007968586727782
        37      0.9830032616339   0.0008050794397115
        38       0.982458658383   0.0008245430525805
        39      0.9815408684102   0.0008564060432892
        40      0.9803490681473   0.0008960130033612
        41      0.9790123462618   0.0009380374806751
        42      0.9776755463052   0.0009775034320745
        43      0.9764835447509    0.001010513719442
        44      0.9755655151424    0.001034523426781
        45      0.9750207348798    0.001048186053103
        46      0.9747164077443    0.001055625865257
        47      0.9739982742958    0.001072669818947
        48      0.9727880450695    0.001099797520369
        49      0.9712165047719    0.001132053469738
        50       0.969453886954      0.0011642691752
        51      0.9676911980608     0.00119233367251
        52       0.966119474509    0.001213886520791
        53        0.96490902712    0.001228272270391
        54      0.9641907325212    0.001235904123737
        55      0.9637729707163    0.001240063145175
        56      0.9627576074827    0.001249133077527
        57      0.9610464819282    0.001260946612162
        58      0.9588245345462    0.001270037370052
        59       0.956332497624    0.001272273486197
        60      0.9538404649268    0.001266616021109
        61      0.9516185284385    0.001255354680335
        62      0.9499074158528    0.001242939212689
        63       0.948892062199    0.001234111902618
        64      0.9483349805993    0.001228892296174
        65      0.9470384968463    0.001215644402705
        66      0.9448536290268    0.001189278064004
        67      0.9420165802874    0.001147005210101
        68      0.9388348415916     0.00108797709032
        69       0.935653379221    0.001015698807154
        70      0.9328170429336    0.000939262925769
        71      0.9306330232821   0.0008722257901938
        72      0.9293371660457   0.0008289355902879
        73       0.928665201593   0.0008055770918602
        74      0.9271724705492    0.000752206072674
        75      0.9246570802888   0.0006572448089958
        76      0.9213911690748   0.0005246861135387
        77       0.917728804287   0.0003638460562081
        78      0.9140670124897   0.0001904529911159
        79       0.910802578623   2.552875142776e-05
        80      0.9082889471321  -0.0001079634204332
        81      0.9067975152389  -0.0001897960740085
        82      0.9058988913929  -0.0002401576545815
        83      0.9036612082516  -0.0003687467542762
        84      0.8998907346898  -0.0005948655248784
        85      0.8949957080596  -0.0009056540104281
        86      0.8895071025113   -0.001276475950373
        87      0.8840200649237   -0.001669857434316
        88      0.8791290809819   -0.002038811415579
        89      0.8753634202067   -0.002334175719601
        90      0.8731292921275   -0.002513914432638
        91      0.8721304399561    -0.00259538871032
        92      0.8702193893165   -0.002753097882207
        93      0.8669993074947   -0.003023775413471
        94      0.8628188037696   -0.003384215022325
        95      0.8581312265651   -0.003800120207728
        96      0.8534447162785    -0.00422788592457
        97      0.8492669633981   -0.004618905659095
        98      0.8460501564339   -0.004925988572763
        99      0.8441415248342   -0.005110589316447
       100      0.8432926791278   -0.005193229553906
       101      0.8416787092568   -0.005351369284135
       102      0.8389591807096   -0.005621039419256
       103       0.835428486289   -0.005977104822178
       104      0.8314694876712   -0.006384296568447
       105      0.8275113419453   -0.006799695078561
       106      0.8239828465439   -0.007176920061976
       107      0.8212659359108   -0.007471780499704
       108      0.8196538998149   -0.007648527556279
       109      0.8188361422929    -0.00773865409458
       110      0.8170546059741   -0.007935789804519
       111      0.8140526802045   -0.008270490639639
       112      0.8101552487373   -0.008709700700551
       113      0.8057848508914   -0.009208373322797
       114      0.8014151768542   -0.009713352684147
       115        0.79751961159    -0.01016882347295
       116      0.7945199075194    -0.01052288256785
       117      0.7927400123035    -0.01073431764779
       118      0.7919138075006    -0.01083276025471
       119      0.7902651020173     -0.0110299274078
       120      0.7874870378433    -0.01136472570958
       121      0.7838803373779    -0.01180423781755
       122      0.7798361001045      -0.012303645949
       123      0.7757927233593    -0.01280997105555
       124      0.7721882416022    -0.01326731726893
       125      0.7694128187817     -0.0136233469232
       126      0.7677660643875    -0.01383619704408
       127      0.7671485271544    -0.01391626943781
       128      0.7662325329098    -0.01403512533007
       129      0.7646889990954     -0.0142359626151
       130      0.7626848867661    -0.01449773752634
       131      0.7604373891279    -0.01479260956168
       132      0.7581900622811    -0.01508878077485
       133       0.756186390305    -0.01535390536916
       134      0.7546433807272     -0.0155587304237
       135      0.7537277737207    -0.01568053196254
       136      0.7533166775488    -0.01573528814441
       137      0.7525263077209    -0.01584069318721
       138      0.7511944474393    -0.01601866134737
       139      0.7494651449381    -0.01625038976224
       140      0.7475258014726    -0.01651113885957
